DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No;Part 1-2;Crm Cd;Crm Cd Desc;Mocodes;Vict Age;Vict Sex;Vict Descent;Premis Cd;Premis Desc;Weapon Used Cd;Weapon Desc;Status;Status Desc;Crm Cd 1
201910811;06/11/2020 12:00:00 AM;06/03/2020 12:00:00 AM;1200;19;Mission    ;1917;2;740;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;0329 1822                              ;58;F;H;122;VEHICLE, PASSENGER/TRUCK                    ;;;IC;Invest Cont ;740
201914796;09/21/2020 12:00:00 AM;09/21/2020 12:00:00 AM;1400;19;Mission    ;1924;2;850;INDECENT EXPOSURE                                       ;0906 0529                              ;49;F;O;101;STREET                                      ;;;AA;Adult Arrest;850
201918263;12/13/2020 12:00:00 AM;12/12/2020 12:00:00 AM;1900;19;Mission    ;1977;2;354;THEFT OF IDENTITY                                       ;1822                                   ;33;F;H;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
201909590;05/05/2020 12:00:00 AM;05/04/2020 12:00:00 AM;2300;19;Mission    ;1924;2;740;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;0329                                   ;34;M;W;107;VACANT LOT                                  ;;;IC;Invest Cont ;740
201910173;05/23/2020 12:00:00 AM;05/23/2020 12:00:00 AM;900;19;Mission    ;1921;2;624;BATTERY - SIMPLE ASSAULT                                ;0416                                   ;25;M;H;108;PARKING LOT                                 ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont ;624
201915673;10/14/2020 12:00:00 AM;10/14/2020 12:00:00 AM;916;19;Mission    ;1906;2;745;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                ;0329 1607                              ;73;M;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;745
201904919;01/21/2020 12:00:00 AM;01/21/2020 12:00:00 AM;1600;19;Mission    ;1936;2;662;BUNCO, GRAND THEFT                                      ;0344 0701                              ;38;M;H;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;662
201916491;11/03/2020 12:00:00 AM;11/02/2020 12:00:00 AM;1800;19;Mission    ;1902;1;510;VEHICLE - STOLEN                                        ;;0;;;101;STREET                                      ;;;IC;Invest Cont ;510
201904623;01/14/2020 12:00:00 AM;01/14/2020 12:00:00 AM;1140;19;Mission    ;1921;2;626;INTIMATE PARTNER - SIMPLE ASSAULT                       ;2000 0416                              ;38;M;H;505;MOTEL                                       ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont ;626
201910106;05/22/2020 12:00:00 AM;05/16/2020 12:00:00 AM;1200;19;Mission    ;1987;1;310;BURGLARY                                                ;1202 1606 0344                         ;63;M;H;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;310
201905786;02/07/2020 12:00:00 AM;02/07/2020 12:00:00 AM;1440;19;Mission    ;1907;1;442;SHOPLIFTING - PETTY THEFT ($950 & UNDER)                ;0325                                   ;19;M;H;408;AUTO SUPPLY STORE*                          ;;;IC;Invest Cont ;442
201912373;07/21/2020 12:00:00 AM;07/21/2020 12:00:00 AM;250;19;Mission    ;1985;2;888;TRESPASSING                                             ;;0;X;X;602;BANK                                        ;;;IC;Invest Cont ;888
201917641;12/02/2020 12:00:00 AM;12/02/2020 12:00:00 AM;1500;19;Mission    ;1902;2;624;BATTERY - SIMPLE ASSAULT                                ;0416 0913 1817 0603                    ;35;M;H;501;SINGLE FAMILY DWELLING                      ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont ;624
201914262;09/07/2020 12:00:00 AM;09/07/2020 12:00:00 AM;1925;19;Mission    ;1981;1;230;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;0342 0416 1218 1822 0429 2033          ;33;M;O;154;TRAIN TRACKS                                ;306;ROCK/THROWN OBJECT                            ;IC;Invest Cont ;230
201909788;05/14/2020 12:00:00 AM;05/14/2020 12:00:00 AM;1500;19;Mission    ;1901;2;888;TRESPASSING                                             ;1402                                   ;44;M;X;745;WATER FACILITY                              ;;;IC;Invest Cont ;888
201910712;06/09/2020 12:00:00 AM;06/07/2020 12:00:00 AM;2200;19;Mission    ;1916;1;510;VEHICLE - STOLEN                                        ;;0;;;101;STREET                                      ;;;IC;Invest Cont ;510
201900993;12/26/2020 12:00:00 AM;12/23/2020 12:00:00 AM;2200;19;Mission    ;1962;2;740;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;1402 0329                              ;39;F;H;108;PARKING LOT                                 ;;;IC;Invest Cont ;740
201909806;05/15/2020 12:00:00 AM;05/14/2020 12:00:00 AM;2340;19;Mission    ;1916;1;761;BRANDISH WEAPON                                         ;0913 0329 2000 0334 0421 1813 1241 0416;24;F;H;501;SINGLE FAMILY DWELLING                      ;205;KITCHEN KNIFE                                 ;AO;Adult Other ;761
201908462;04/06/2020 12:00:00 AM;04/05/2020 12:00:00 AM;1825;19;Mission    ;1954;1;442;SHOPLIFTING - PETTY THEFT ($950 & UNDER)                ;0325                                   ;0;M;O;403;DRUG STORE                                  ;;;IC;Invest Cont ;442
211911327;07/16/2021 12:00:00 AM;05/01/2020 12:00:00 AM;600;19;Mission    ;1991;2;627;CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT                 ;0913 0416 1258 0556                    ;6;M;H;503;HOTEL                                       ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other ;627
201906514;02/07/2020 12:00:00 AM;02/04/2020 12:00:00 AM;1100;19;Mission    ;1905;2;740;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;0329                                   ;73;M;J;104;DRIVEWAY                                    ;;;IC;Invest Cont ;740
201913725;08/25/2020 12:00:00 AM;08/24/2020 12:00:00 AM;1650;19;Mission    ;1984;2;946;OTHER MISCELLANEOUS CRIME                               ;0329                                   ;47;M;H;501;SINGLE FAMILY DWELLING                      ;;;AA;Adult Arrest;946
201906469;02/18/2020 12:00:00 AM;02/18/2020 12:00:00 AM;1300;19;Mission    ;1908;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;0344                                   ;40;M;H;101;STREET                                      ;;;IC;Invest Cont ;420
201911002;06/16/2020 12:00:00 AM;06/15/2020 12:00:00 AM;2215;19;Mission    ;1988;1;230;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;0302 0421 0432 1402 2004 1822 0446     ;36;M;H;101;STREET                                      ;112;TOY GUN                                       ;AA;Adult Arrest;230
201913331;08/15/2020 12:00:00 AM;08/15/2020 12:00:00 AM;1930;19;Mission    ;1951;2;745;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                ;0329                                   ;59;M;H;101;STREET                                      ;;;AO;Adult Other ;745
201913387;08/17/2020 12:00:00 AM;08/17/2020 12:00:00 AM;435;19;Mission    ;1971;1;230;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;0416 0913 1817                         ;37;M;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);302;BLUNT INSTRUMENT                              ;AA;Adult Arrest;230
201914407;09/11/2020 12:00:00 AM;09/11/2020 12:00:00 AM;1035;19;Mission    ;1902;2;354;THEFT OF IDENTITY                                       ;0935 0929 0922                         ;44;F;H;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
201905555;02/03/2020 12:00:00 AM;02/02/2020 12:00:00 AM;2300;19;Mission    ;1943;1;331;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     ;0385                                   ;33;F;H;101;STREET                                      ;;;IC;Invest Cont ;331
201911219;06/21/2020 12:00:00 AM;06/20/2020 12:00:00 AM;1800;19;Mission    ;1924;1;310;BURGLARY                                                ;1307 0344                              ;59;M;H;707;GARAGE/CARPORT                              ;;;IC;Invest Cont ;310
201915741;10/16/2020 12:00:00 AM;10/15/2020 12:00:00 AM;1830;19;Mission    ;1987;2;740;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;0329                                   ;51;F;A;122;VEHICLE, PASSENGER/TRUCK                    ;;;IC;Invest Cont ;740
201909399;05/04/2020 12:00:00 AM;05/04/2020 12:00:00 AM;240;19;Mission    ;1917;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;0344                                   ;21;M;H;101;STREET                                      ;;;IC;Invest Cont ;420
201916077;10/25/2020 12:00:00 AM;10/23/2020 12:00:00 AM;1800;19;Mission    ;1962;1;330;BURGLARY FROM VEHICLE                                   ;0344 1302 1307                         ;19;M;H;101;STREET                                      ;;;IC;Invest Cont ;330
201907452;03/11/2020 12:00:00 AM;03/10/2020 12:00:00 AM;1100;19;Mission    ;1984;1;330;BURGLARY FROM VEHICLE                                   ;1302 0344 1402                         ;62;M;B;108;PARKING LOT                                 ;;;IC;Invest Cont ;330
