DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME
212113584;09/03/2021 12:00:00 AM;09/03/2021 12:00:00 AM;1330;21;Topanga    
212105162;02/03/2021 12:00:00 AM;01/31/2021 12:00:00 AM;2215;21;Topanga    
212111458;07/14/2021 12:00:00 AM;05/27/2021 12:00:00 AM;730;21;Topanga    
212117102;12/01/2021 12:00:00 AM;11/30/2021 12:00:00 AM;1115;21;Topanga    
212109227;05/22/2021 12:00:00 AM;05/22/2021 12:00:00 AM;400;21;Topanga    
212117788;12/21/2021 12:00:00 AM;12/21/2021 12:00:00 AM;1045;21;Topanga    
212104259;01/08/2021 12:00:00 AM;01/08/2021 12:00:00 AM;630;21;Topanga    
212100539;02/05/2021 12:00:00 AM;02/05/2021 12:00:00 AM;30;21;Topanga    
212117259;12/06/2021 12:00:00 AM;12/06/2021 12:00:00 AM;500;21;Topanga    
212111183;07/08/2021 12:00:00 AM;07/07/2021 12:00:00 AM;2200;21;Topanga    
222104822;01/24/2022 12:00:00 AM;10/26/2021 12:00:00 AM;1150;21;Topanga    
212113750;09/10/2021 12:00:00 AM;09/10/2021 12:00:00 AM;1500;21;Topanga    
212116500;11/15/2021 12:00:00 AM;11/14/2021 12:00:00 AM;1014;21;Topanga    
212112568;08/13/2021 12:00:00 AM;08/12/2021 12:00:00 AM;1942;21;Topanga    
212115395;10/19/2021 12:00:00 AM;10/18/2021 12:00:00 AM;1600;21;Topanga    
212117096;12/01/2021 12:00:00 AM;11/15/2021 12:00:00 AM;1330;21;Topanga    
212108154;04/26/2021 12:00:00 AM;04/26/2021 12:00:00 AM;830;21;Topanga    
212117457;12/10/2021 12:00:00 AM;12/10/2021 12:00:00 AM;2200;21;Topanga    
212111038;07/07/2021 12:00:00 AM;07/06/2021 12:00:00 AM;1930;21;Topanga    
212116946;11/27/2021 12:00:00 AM;11/27/2021 12:00:00 AM;100;21;Topanga    
212105188;02/04/2021 12:00:00 AM;02/04/2021 12:00:00 AM;600;21;Topanga    
212117494;12/12/2021 12:00:00 AM;12/12/2021 12:00:00 AM;1530;21;Topanga    
212118061;12/29/2021 12:00:00 AM;12/28/2021 12:00:00 AM;700;21;Topanga    
212105027;01/30/2021 12:00:00 AM;01/28/2021 12:00:00 AM;600;21;Topanga    
212112441;08/10/2021 12:00:00 AM;08/10/2021 12:00:00 AM;1230;21;Topanga    
212108257;04/27/2021 12:00:00 AM;04/20/2021 12:00:00 AM;1500;21;Topanga    
212112342;08/08/2021 12:00:00 AM;08/05/2021 12:00:00 AM;900;21;Topanga    
212113466;09/04/2021 12:00:00 AM;08/02/2021 12:00:00 AM;2200;21;Topanga    
212115966;11/02/2021 12:00:00 AM;04/15/2021 12:00:00 AM;1610;21;Topanga    
212108565;05/05/2021 12:00:00 AM;04/27/2021 12:00:00 AM;1800;21;Topanga    
212108859;05/13/2021 12:00:00 AM;05/13/2021 12:00:00 AM;1415;21;Topanga    
212116413;11/13/2021 12:00:00 AM;11/13/2021 12:00:00 AM;810;21;Topanga    
212115584;10/23/2021 12:00:00 AM;10/23/2021 12:00:00 AM;2235;21;Topanga    
212104301;01/09/2021 12:00:00 AM;01/09/2021 12:00:00 AM;1500;21;Topanga    
212114681;10/01/2021 12:00:00 AM;09/15/2021 12:00:00 AM;1000;21;Topanga    
212113689;09/09/2021 12:00:00 AM;09/05/2021 12:00:00 AM;1800;21;Topanga    
212108956;05/16/2021 12:00:00 AM;05/16/2021 12:00:00 AM;1200;21;Topanga    
212106437;03/10/2021 12:00:00 AM;03/10/2021 12:00:00 AM;2015;21;Topanga    
212116247;11/08/2021 12:00:00 AM;11/08/2021 12:00:00 AM;1110;21;Topanga    
