DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No
201609820;06/09/2020 12:00:00 AM;06/08/2020 12:00:00 AM;805;16;Foothill   ;1651
201610778;07/04/2020 12:00:00 AM;07/04/2020 12:00:00 AM;1145;16;Foothill   ;1681
201615702;12/15/2020 12:00:00 AM;12/15/2020 12:00:00 AM;1715;16;Foothill   ;1655
201615298;12/02/2020 12:00:00 AM;12/01/2020 12:00:00 AM;2200;16;Foothill   ;1633
201615637;12/13/2020 12:00:00 AM;12/13/2020 12:00:00 AM;1230;16;Foothill   ;1679
201614596;11/05/2020 12:00:00 AM;09/27/2020 12:00:00 AM;1436;16;Foothill   ;1636
201612344;08/27/2020 12:00:00 AM;08/27/2020 12:00:00 AM;2005;16;Foothill   ;1653
201605580;02/06/2020 12:00:00 AM;01/28/2020 12:00:00 AM;2000;16;Foothill   ;1687
201606906;03/10/2020 12:00:00 AM;03/09/2020 12:00:00 AM;1340;16;Foothill   ;1675
201605040;01/25/2020 12:00:00 AM;01/25/2020 12:00:00 AM;2155;16;Foothill   ;1622
201609190;05/19/2020 12:00:00 AM;05/18/2020 12:00:00 AM;1950;16;Foothill   ;1687
201606447;02/29/2020 12:00:00 AM;02/28/2020 12:00:00 AM;1840;16;Foothill   ;1641
201609793;06/08/2020 12:00:00 AM;06/08/2020 12:00:00 AM;305;16;Foothill   ;1675
201608085;03/21/2020 12:00:00 AM;03/20/2020 12:00:00 AM;700;16;Foothill   ;1621
201614404;11/02/2020 12:00:00 AM;11/02/2020 12:00:00 AM;1700;16;Foothill   ;1633
201606624;03/04/2020 12:00:00 AM;03/04/2020 12:00:00 AM;250;16;Foothill   ;1684
201614814;11/13/2020 12:00:00 AM;11/13/2020 12:00:00 AM;1400;16;Foothill   ;1602
201614381;11/02/2020 12:00:00 AM;11/01/2020 12:00:00 AM;2030;16;Foothill   ;1689
201608605;04/30/2020 12:00:00 AM;04/29/2020 12:00:00 AM;400;16;Foothill   ;1668
201612405;08/29/2020 12:00:00 AM;08/28/2020 12:00:00 AM;1500;16;Foothill   ;1641
201611414;07/26/2020 12:00:00 AM;07/26/2020 12:00:00 AM;1440;16;Foothill   ;1643
201614228;10/08/2020 12:00:00 AM;10/07/2020 12:00:00 AM;2045;16;Foothill   ;1654
201604945;01/23/2020 12:00:00 AM;01/18/2020 12:00:00 AM;1200;16;Foothill   ;1682
201600722;07/21/2020 12:00:00 AM;07/20/2020 12:00:00 AM;1330;16;Foothill   ;1622
201615516;12/09/2020 12:00:00 AM;11/02/2020 12:00:00 AM;700;16;Foothill   ;1659
201608177;04/17/2020 12:00:00 AM;04/16/2020 12:00:00 AM;2300;16;Foothill   ;1637
201611642;07/16/2020 12:00:00 AM;01/01/2020 12:00:00 AM;1200;16;Foothill   ;1602
201606900;03/09/2020 12:00:00 AM;03/09/2020 12:00:00 AM;2100;16;Foothill   ;1611
201615609;12/12/2020 12:00:00 AM;12/12/2020 12:00:00 AM;1530;16;Foothill   ;1642
201610408;06/25/2020 12:00:00 AM;06/25/2020 12:00:00 AM;1215;16;Foothill   ;1651
201604104;01/03/2020 12:00:00 AM;01/03/2020 12:00:00 AM;1210;16;Foothill   ;1689
201607814;04/06/2020 12:00:00 AM;04/06/2020 12:00:00 AM;1400;16;Foothill   ;1637
201613115;09/22/2020 12:00:00 AM;09/19/2020 12:00:00 AM;230;16;Foothill   ;1668
201614091;10/21/2020 12:00:00 AM;10/21/2020 12:00:00 AM;823;16;Foothill   ;1612
201612551;09/03/2020 12:00:00 AM;08/28/2020 12:00:00 AM;1500;16;Foothill   ;1668
201608394;04/23/2020 12:00:00 AM;04/22/2020 12:00:00 AM;1600;16;Foothill   ;1634
201604278;01/07/2020 12:00:00 AM;01/06/2020 12:00:00 AM;700;16;Foothill   ;1668
201615704;12/15/2020 12:00:00 AM;12/15/2020 12:00:00 AM;1500;16;Foothill   ;1676
201614267;10/28/2020 12:00:00 AM;10/11/2020 12:00:00 AM;2000;16;Foothill   ;1651
201600527;01/20/2020 12:00:00 AM;01/20/2020 12:00:00 AM;130;16;Foothill   ;1608
201608444;04/25/2020 12:00:00 AM;04/17/2020 12:00:00 AM;1029;16;Foothill   ;1658
201609706;06/04/2020 12:00:00 AM;06/03/2020 12:00:00 AM;2350;16;Foothill   ;1638
201606479;02/29/2020 12:00:00 AM;02/29/2020 12:00:00 AM;215;16;Foothill   ;1668
