DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No
210407460;04/08/2021 12:00:00 AM;04/08/2021 12:00:00 AM;1430;4;Hollenbeck ;421
210411679;08/11/2021 12:00:00 AM;08/11/2021 12:00:00 AM;1130;4;Hollenbeck ;437
210410820;07/18/2021 12:00:00 AM;07/01/2021 12:00:00 AM;1000;4;Hollenbeck ;422
210406197;03/01/2021 12:00:00 AM;03/01/2021 12:00:00 AM;1715;4;Hollenbeck ;438
210411568;08/07/2021 12:00:00 AM;08/07/2021 12:00:00 AM;2130;4;Hollenbeck ;478
210409165;05/30/2021 12:00:00 AM;05/27/2021 12:00:00 AM;600;4;Hollenbeck ;442
210405469;02/10/2021 12:00:00 AM;02/09/2021 12:00:00 AM;1800;4;Hollenbeck ;461
210400780;05/09/2021 12:00:00 AM;05/09/2021 12:00:00 AM;1100;4;Hollenbeck ;468
210405066;01/29/2021 12:00:00 AM;01/28/2021 12:00:00 AM;2205;4;Hollenbeck ;438
210410747;07/15/2021 12:00:00 AM;07/14/2021 12:00:00 AM;2300;4;Hollenbeck ;429
210412278;08/29/2021 12:00:00 AM;08/27/2021 12:00:00 AM;326;4;Hollenbeck ;402
210409566;06/12/2021 12:00:00 AM;05/10/2021 12:00:00 AM;2300;4;Hollenbeck ;429
210411514;08/06/2021 12:00:00 AM;08/06/2021 12:00:00 AM;1115;4;Hollenbeck ;439
210412532;09/05/2021 12:00:00 AM;09/05/2021 12:00:00 AM;5;4;Hollenbeck ;497
210413217;09/25/2021 12:00:00 AM;09/25/2021 12:00:00 AM;2100;4;Hollenbeck ;443
210416005;12/18/2021 12:00:00 AM;12/17/2021 12:00:00 AM;2200;4;Hollenbeck ;449
210416382;12/31/2021 12:00:00 AM;12/30/2021 12:00:00 AM;1900;4;Hollenbeck ;466
210412735;09/11/2021 12:00:00 AM;09/11/2021 12:00:00 AM;250;4;Hollenbeck ;414
210415146;11/21/2021 12:00:00 AM;11/18/2021 12:00:00 AM;1900;4;Hollenbeck ;443
210405930;02/22/2021 12:00:00 AM;02/22/2021 12:00:00 AM;1700;4;Hollenbeck ;418
210409824;06/19/2021 12:00:00 AM;06/16/2021 12:00:00 AM;2130;4;Hollenbeck ;411
210415569;12/05/2021 12:00:00 AM;12/05/2021 12:00:00 AM;1845;4;Hollenbeck ;415
210408554;05/12/2021 12:00:00 AM;05/12/2021 12:00:00 AM;810;4;Hollenbeck ;455
210412402;09/01/2021 12:00:00 AM;09/01/2021 12:00:00 AM;1245;4;Hollenbeck ;489
210414485;11/02/2021 12:00:00 AM;11/01/2021 12:00:00 AM;1620;4;Hollenbeck ;409
210400647;03/14/2021 12:00:00 AM;03/14/2021 12:00:00 AM;2030;4;Hollenbeck ;416
210415423;11/30/2021 12:00:00 AM;11/27/2021 12:00:00 AM;1745;4;Hollenbeck ;423
210415622;12/07/2021 12:00:00 AM;12/07/2021 12:00:00 AM;330;4;Hollenbeck ;451
210407279;04/02/2021 12:00:00 AM;03/28/2021 12:00:00 AM;2000;4;Hollenbeck ;439
210413353;09/29/2021 12:00:00 AM;09/29/2021 12:00:00 AM;1100;4;Hollenbeck ;466
210409213;05/31/2021 12:00:00 AM;05/30/2021 12:00:00 AM;2025;4;Hollenbeck ;426
210409351;06/05/2021 12:00:00 AM;06/05/2021 12:00:00 AM;745;4;Hollenbeck ;407
210413667;10/07/2021 12:00:00 AM;10/06/2021 12:00:00 AM;2000;4;Hollenbeck ;479
210408154;04/30/2021 12:00:00 AM;04/30/2021 12:00:00 AM;2230;4;Hollenbeck ;489
210407427;04/07/2021 12:00:00 AM;04/07/2021 12:00:00 AM;1515;4;Hollenbeck ;426
210409897;06/20/2021 12:00:00 AM;06/18/2021 12:00:00 AM;1900;4;Hollenbeck ;407
210406699;03/15/2021 12:00:00 AM;03/12/2021 12:00:00 AM;1730;4;Hollenbeck ;421
